index,id,title,created_at,updated_at,thumbnail_url,model_url
4,mem-1774895805678-xr6ftx,indoor-sofa,Mon Mar 30 2026 14:36:45 GMT-0400 (Eastern Daylight Time),Mon Mar 30 2026 14:36:45 GMT-0400 (Eastern Daylight Time),https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/indoor-sofa.jpg,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/models/indoor-sofa.ply
5,mem-1774895932179-4seueu,indoor-sofa,Mon Mar 30 2026 14:38:52 GMT-0400 (Eastern Daylight Time),Mon Mar 30 2026 14:38:52 GMT-0400 (Eastern Daylight Time),https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/indoor-sofa-Ud0njqLf3pfoO3t5G6qqqDYt3XuDdq.jpg,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/models/indoor-sofa-DRdZxUgu3D84iJElTaY6fFjTju4mo9.ply
6,mem-1774897839611-wvg296,IMG_9697,Mon Mar 30 2026 15:10:39 GMT-0400 (Eastern Daylight Time),Mon Mar 30 2026 15:10:39 GMT-0400 (Eastern Daylight Time),https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_9697-6rLz4s5NRm1Xvqm9BxfBp7oaIi7sID.HEIC,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/models/IMG_9697-1vBtqI5V3dc5bh5f288tm7giY3AN47.ply
7,mem-1774899650677-zyooxb,IMG_9697,Mon Mar 30 2026 15:40:50 GMT-0400 (Eastern Daylight Time),Mon Mar 30 2026 15:40:50 GMT-0400 (Eastern Daylight Time),https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_9697-U31leH8vmWA0H9myzSuFcDKDCjOev4.HEIC,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/models/IMG_9697-DFYFNVUTDje7IvdbWJu5JiyZpc6Id0.ply
8,mem-1774899866394-ye0llf,claire,Mon Mar 30 2026 15:44:26 GMT-0400 (Eastern Daylight Time),Mon Mar 30 2026 15:46:32 GMT-0400 (Eastern Daylight Time),https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_0936-Pq9qj062K99QMYKf9AOTnrIocCi24P.jpeg,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/models/IMG_0936-08CxhTc2OS2BqduJ8ryJx0MVa6HfIE.ply
9,mem-1775102545407-nncxgy,c9c97626784b036a0f9e7e2b1c6c088c,Thu Apr 02 2026 00:02:25 GMT-0400 (Eastern Daylight Time),Thu Apr 02 2026 00:02:25 GMT-0400 (Eastern Daylight Time),https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/c9c97626784b036a0f9e7e2b1c6c088c-rUyjqotIzzJX1sFSo0Ufzy4aPVz7cs.JPG,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/models/c9c97626784b036a0f9e7e2b1c6c088c-Y20NKvdnGq8YuGLkg0fQOGD3lzVTEn.ply
10,mem-1775102620153-47st96,IMG_9694,Thu Apr 02 2026 00:03:40 GMT-0400 (Eastern Daylight Time),Thu Apr 02 2026 00:03:57 GMT-0400 (Eastern Daylight Time),https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_9694-rLb20EL99zT13ZFfx5JATXuUpfUpOx.HEIC,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/models/IMG_9694-bNUttaIqI30zGTiYbPZVjB5xYtKVvf.ply
11,mem-1775234945986-0g6e0d,IMG_9694 (1),Fri Apr 03 2026 12:49:06 GMT-0400 (Eastern Daylight Time),Fri Apr 03 2026 12:49:06 GMT-0400 (Eastern Daylight Time),https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_9694%20%281%29-imrF8cRo12lMw3ji3OvlKe4wqiChR1.HEIC,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/models/IMG_9694%20%281%29-go4TFnHUKamegheIT28rm74FHVxqkf.ply
12,mem-1775235125990-3wu2uf,IMG_3559,Fri Apr 03 2026 12:52:06 GMT-0400 (Eastern Daylight Time),Fri Apr 03 2026 12:52:06 GMT-0400 (Eastern Daylight Time),https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/IMG_3559-AxiTjlDAvCBUJ1GVk5YVqWBnJT3eDy.HEIC,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/models/IMG_3559-rQGCT1ttTLTGpoSRiYDQfLKNqrNvbR.ply
13,mem-1775235216809-yc1unj,c9c97626784b036a0f9e7e2b1c6c088c,Fri Apr 03 2026 12:53:36 GMT-0400 (Eastern Daylight Time),Fri Apr 03 2026 12:53:36 GMT-0400 (Eastern Daylight Time),https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/thumbnails/c9c97626784b036a0f9e7e2b1c6c088c-WdQyuQGWbiZVBhyPyevOzXLNr7Nrmq.JPG,https://ujfyzwgfknssufsx.public.blob.vercel-storage.com/models/c9c97626784b036a0f9e7e2b1c6c088c-kuHqjSnSoJKPykfoGlLsFEmFHq4HK7.ply
